ProjectID,AgreementNumber,Stage,InitialEnrollmentStatus,ProjectType,LeadSource,LeadSourceOther,CboName,ReasonForOptOut,ReasonForIneligibility,BuildingType,SelectApplicableOtherResidentialAccomodationTypes,CaliforniaRegion,StreetNumber,StreetName,UnitNameOrNumber,City,ZipCode,CountyNorthern,CountyCentral,CountySouthern,CensusTract,AssemblyDistrict,SenateDistrict,CaliforniaClimateZone,DisadvantagedCommunity,Within12MileOfADisadvantagedCommunity,LowIncomeCommunity,OwnerOccupied,FirstNameOwner,LastNameOwner,CompanyOwner,PhoneOwner,EmailOwner,ProjectStatusDate,NumberOfOccupantsInHousehold,FirstNameOccupant,LastNameOccupant,PhoneOccupant,EmailOccupant,CurrentMonthlyRent,ElectricBillPaidBy,GasBillPaidBy,IncomeVerificationMethodology,IncomeVerificationMethodologyOther,HouseholdIncomeCategory,CategoricalEligibility,CategoricalEligibilityOther,ElectricUtilityNorthern,GasUtilityNorthern,ElectricUtilityCentral,GasUtilityCentral,ElectricUtilitySouthern,GasUtilitySouthern
N-AA-258200,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,38th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 1,Test Owner Last,Test Company,1112223333,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258201,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,39th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 2,Test Owner Last,Test Company,1112223334,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258202,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,40th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 3,Test Owner Last,Test Company,1112223335,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258203,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,41st street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 4,Test Owner Last,Test Company,1112223336,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258204,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,42nd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 5,Test Owner Last,Test Company,1112223337,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258205,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,43rd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 6,Test Owner Last,Test Company,1112223338,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258206,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,44th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 7,Test Owner Last,Test Company,1112223339,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258207,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,45th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 8,Test Owner Last,Test Company,1112223340,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258208,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,46th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 9,Test Owner Last,Test Company,1112223341,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258209,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,47th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 10,Test Owner Last,Test Company,1112223342,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258210,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,48th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 11,Test Owner Last,Test Company,1112223343,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258211,EBD-25-000,Initial Enrollment,In progress,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,49th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 12,Test Owner Last,Test Company,1112223344,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
